Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score,Publisher_Profile,Cluster
3037,Guitar Hero Live,"PS4, XOne, PS3, X360, WiiU",2015,Music,Activision,1.58,1.05,0.0,0.4,0.0,0.0,High Profile,38
3038,Medal of Honor: Airborne,"PS3, X360, PC",2007,Shooter,Electronic Arts,0.7,1.26,0.04,0.37,0.0,0.0,High Profile,23
3039,Bayonetta,"PS3, X360",2010,Action,Sega,0.95,0.65,0.3,0.24,8.75,8.35,High Profile,1
3041,Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony Computer Entertainment,1.03,0.14,0.0,0.04,0.0,0.0,High Profile,12
3043,Star Wars Episode 1: Jedi Power Battles,PS,2000,Action,LucasArts,0.66,0.48,0.01,0.06,0.0,0.0,Medium Profile,10
3044,Super Monkey Ball: Banana Blitz,Wii,2006,Misc,Sega,1.05,0.91,0.04,0.24,7.3,0.0,High Profile,9
3045,The Magical Quest starring Mickey Mouse (all region sales),SNES,1992,Platform,Capcom,0.66,0.17,0.35,0.03,0.0,0.0,Medium Profile,21
3048,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,2007,Misc,Majesco,0.87,0.32,0.0,0.02,0.0,0.0,Medium Profile,19
3051,Test Drive 4,PS,1997,Racing,Accolade,0.67,0.46,0.0,0.08,0.0,0.0,Low Profile,27
3052,The Sims 2: Castaway,"Wii, PSP, DS, PS2",2007,Simulation,Electronic Arts,1.44,1.1400000000000001,0.0,0.49,0.0,0.0,High Profile,20
3053,World Soccer Winning Eleven 9 (JP & Others sales),PSP,2006,Sports,Konami,0.01,0.88,0.31,0.0,8.0,0.0,High Profile,4
3054,The Lord of the Rings: The Fellowship of the Ring,"PS2, XB",2002,Action,Black Label Games,0.8999999999999999,0.65,0.0,0.18,0.0,0.0,Low Profile,22
3055,ATV Offroad Fury 3,PS2,2004,Racing,Sony Computer Entertainment,1.0,0.04,0.0,0.16,7.5,0.0,High Profile,18
3056,F1 2011,"PS3, X360, PC, 3DS, PSV",2011,Racing,Codemasters,0.33,1.57,0.13,0.39,7.625,0.0,Medium Profile,7
3057,Metal Gear Solid V: Ground Zeroes,"PS4, PC, PS3, XOne, X360",2014,Action-Adventure,Konami Digital Entertainment,0.6799999999999999,0.8200000000000001,0.4600000000000001,0.25,8.120000000000001,0.0,Medium Profile,31
3058,Minecraft: Story Mode,"X360, PS3, PS4, XOne, PC, WiiU",2015,Adventure,Mojang,1.84,1.63,0.0,0.49,0.0,0.0,Low Profile,6
3060,Big Beach Sports,Wii,2008,Sports,THQ,0.45,1.02,0.0,0.2,4.9,0.0,High Profile,4
3064,Dino Crisis 2,PS,2000,Action,Capcom,0.34,0.49,0.28,0.1,8.8,0.0,Medium Profile,10
3065,Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom,0.68,0.14,0.35,0.02,0.0,0.0,Medium Profile,21
3067,Dragon Ball Z: Budokai Tenkaichi 3,"PS2, Wii",2007,Fighting,Atari,1.47,0.36,1.02,1.1700000000000002,7.5,8.6,Medium Profile,16
3068,Dragon Ball Z: La Legende Saien,SNES,1994,Fighting,Bandai,0.0,0.0,1.2,0.0,0.0,0.0,Medium Profile,16
3070,Final Fantasy,NES,1990,Role-Playing,Nintendo,0.32,0.0,0.52,0.0,8.5,0.0,High Profile,3
