,Rank,Name,Critic_Score,User_Score
467,1158,Guitar Hero: On Tour,7.1,8.1
468,1159,Dragon Ball Z: Budokai,,
469,1160,The Legend of Zelda: Majora's Mask 3D,9.0,
470,1161,Spyro 2: Ripto's Rage!,8.7,
471,1162,Halo: The Master Chief Collection,8.8,
472,1164,LEGO Batman: The Videogame,7.5,
473,1165,Tekken 4,7.9,
474,1166,FIFA 14,,
475,1167,LittleBigPlanet 2,9.1,
476,1168,Grand Theft Auto 2,6.9,
477,1169,Destiny,8.3,
478,1170,Spider-Man 2,7.9,
479,1171,F-1 Race,,
480,1172,Dead Rising 3,,
481,1178,World of Warcraft: Battle for Azeroth,,
482,1179,FIFA Soccer 2003,,
483,1181,Crash Bash,6.8,
484,1183,Gears of War 4,,
485,1185,Tekken: Dark Resurrection,8.7,
486,1186,The Elder Scrolls V: Skyrim Special Edition,8.3,
487,1187,Watch Dogs 2,,
488,1188,The Legend of Zelda: Majora's Mask,9.3,
489,1189,WWF War Zone,,
490,1190,Yoshi's Island DS,8.2,
491,1193,Assassin's Creed IV: Black Flag,8.5,
492,1194,NBA 2K18,8.1,
493,1195,Big Brain Academy: Wii Degree,7.1,
494,1197,Luigi's Mansion,7.9,
495,1198,James Bond 007: Nightfire,,
496,1199,Star Wars Episode III: Revenge of the Sith,,
497,1200,Max Payne,8.1,
614,1202,Madden NFL 16,8.2,
615,1209,World of Warcraft: Legion,,
616,1210,World of Warcraft: Warlords of Draenor,,
617,1211,Dark Souls III,,
618,1212,Dark Souls: Prepare to Die Edition,,
619,1213,The Lord of the Rings: The Return of the King,8.4,
620,1214,Spyro: Year of the Dragon,9.1,
621,1217,Madden NFL 17,8.5,
622,1218,True Crime: Streets of LA,,
623,1219,Far Cry 3,,
624,1220,God of War: Chains of Olympus,8.9,9.5
625,1221,FIFA 16,8.5,
626,1222,Flash Focus: Vision Training in Minutes a Day,6.1,
627,1225,Ratchet & Clank: Up Your Arsenal,9.1,
628,1226,007: Tomorrow Never Dies,6.2,
629,1227,L.A. Noire,9.1,
630,1229,Baseball,,
631,1232,Dragon Quest IV,,
632,1233,Dragon Quest VI: Maboroshi no Daichi,,
633,1235,Killer Instinct,,
634,1237,Perfect Dark,9.7,
635,1239,WWF SmackDown! 2: Know Your Role,8.7,
636,1240,Assassin's Creed IV: Black Flag,8.3,
637,1243,Personal Trainer: Cooking,8.4,
638,1245,Enter the Matrix,,
639,1246,Assassin's Creed Odyssey,9.5,
640,1247,Fallout: New Vegas,8.2,
641,1248,Sonic Heroes,6.6,
642,1249,Club Penguin: Elite Penguin Force,7.0,
643,1250,FIFA Soccer 08,,
644,1251,FIFA 18,8.0,
645,1253,Spider-Man,,
646,1254,Need for Speed III: Hot Pursuit,,
647,1255,The Elder Scrolls IV: Oblivion,9.3,
648,1256,Star Wars Episode I Racer,8.7,
649,1257,Tekken 6,7.9,
650,1258,Yoshi,,
651,1259,Resident Evil 6,,
652,1260,Tom Clancy's Ghost Recon Wildlands,7.0,
653,1261,NBA 2K13,8.6,
654,1262,Titanfall,,
655,1263,Mario Party 9,6.5,
656,1268,Mass Effect 2,9.5,8.9
657,1270,Fire Emblem Fates,,
658,1271,Madden NFL 2002,,
659,1272,World Class Track Meet,,
660,1273,LEGO Batman: The Videogame,7.3,
661,1274,Saints Row 2,7.9,
662,1275,Donkey Kong,,
663,1276,New Super Luigi U,7.8,
664,1277,The Sims: Vacation,,
665,1278,Call of Duty: Ghosts,7.5,
666,1279,LEGO Batman: The Videogame,7.8,
667,1280,Borderlands 2,,
668,1281,Kung Fu Panda,7.5,
669,1282,Mass Effect 3,9.5,
670,1285,Rhythm Heaven,8.5,
671,1286,Metal Gear Solid V: The Phantom Pain,,
672,1287,Rayman,7.0,
673,1288,Tom Clancy's Splinter Cell,9.3,9.1
674,1289,Mike Tyson's Punch-Out!!,,
675,1290,Professor Layton and the Unwound Future,8.4,
676,1293,Age of Empires,,
677,1302,Croc: Legend of the Gobbos,7.6,
678,1304,Crysis,9.2,8.5
679,1309,Dishonored,,
680,1314,Fable,8.6,
681,1322,Gears of War 3,9.1,
682,1324,God of War: Ascension,,
683,1326,Halo 3: ODST,8.7,
684,1327,Heavy Rain,8.8,8.6
685,1329,Kinect Sports,7.4,
686,1331,Left 4 Dead,8.7,9.0
687,1332,Left 4 Dead 2,9.0,
688,1342,MotorStorm,8.2,
689,1351,Sid Meier's Civilization IV,9.4,
690,1352,Sonic and the Secret Rings,6.7,
691,1353,Sonic Rush,7.8,
692,1359,Torchlight II,,
693,1361,Warcraft II: Tides of Darkness,9.3,
694,1368,WWE SmackDown! vs. Raw 2006,8.4,
695,1369,Kirby Super Star Ultra,7.3,
696,1370,Star Fox,,
697,1371,The Sims: Livin Large,,
698,1372,World Soccer Winning Eleven 6 International,,
699,1373,Far Cry 3,,
700,1374,Mario vs. Donkey Kong: Mini-Land Mayhem!,7.8,
701,1375,Style Savvy,7.6,
702,1376,Super Meat Boy,9.2,
703,1377,Yokai Watch,7.7,
704,1378,Ratchet & Clank: Going Commando,8.7,
705,1379,The Legend of Zelda: Spirit Tracks,8.7,
706,1380,Battlefield: Bad Company 2,8.9,8.8
707,1381,Hitman 2: Silent Assassin,,
708,1382,Mario Party: Island Tour,5.5,
709,1383,Street Fighter IV,9.3,9.3
710,1384,WWE SmackDown! vs. RAW 2006,,
711,1385,Donkey Kong Country Returns 3D,8.6,
712,1386,Wave Race 64,9.2,
713,1387,Pac-Man Collection,,
714,1388,Pokémon Ranger,6.6,
715,1390,Madden NFL 13,8.0,
716,1392,Doom (2016),,
717,1393,Mass Effect,9.2,9.1
718,1394,FIFA 15,6.9,
719,1395,Counter-Strike: Condition Zero,6.8,
720,1396,Dragon Ball Z: Budokai 2,,
721,1398,Final Fantasy III,9.1,
722,1399,Nioh,,
723,1401,Mortal Kombat (2011),8.5,
724,1402,Sega Superstars Tennis,6.9,
725,1403,Cooking Mama: Cook Off,5.9,
726,1404,Hot Shots Golf 3,,
727,1405,Call of Duty: Finest Hour,,
728,1406,Middle-Earth: Shadow of Mordor,,
729,1409,Imagine: Babyz,3.5,
730,1410,Mafia III,6.9,
731,1412,Colin McRae Rally,7.9,
732,1413,Wii Music,5.6,
733,1414,The Elder Scrolls III: Morrowind,8.2,
734,1416,Assassin's Creed: Brotherhood,9.1,
735,1417,F-Zero,,
736,1418,Yoshi's Story,,
737,1419,The Walking Dead: A Telltale Games Series,,
738,1421,Metroid Prime,9.6,9.5
739,1422,Resistance 2,8.5,8.7
740,1423,Zumba Fitness 2,,
741,1424,Madden NFL 10,8.6,
742,1425,BioShock,9.6,9.5
743,1427,Yoshi's Island: Super Mario Advance 3,,
744,1428,WWE SmackDown! vs. Raw,,
745,1429,Finding Nemo,7.0,
746,1430,Medal of Honor,6.7,
747,1431,Diablo III: Ultimate Evil Edition,,
748,1433,The Legend of Zelda: A Link to the Past,9.6,
749,1435,Gran Turismo (PSP),7.8,
750,1438,Need for Speed: Hot Pursuit,8.9,
751,1439,Imagine: Fashion Designer,3.0,
752,1440,Killzone 3,8.2,
753,1441,Hitman: Absolution,9.0,
754,1443,Baldur's Gate,9.2,
