Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score
9902,Yu-Gi-Oh! GX: Tag Force 3,PSP,2008.0,Strategy,Konami  ,,0.03,0.18,0.01,,
9903,Hooked! Real Motion Fishing,Wii,2007.0,Sports,Aksys Games  ,0.21,0.0,,0.02,,
9905,NCAA Football 09,PSP,2008.0,Sports,EA Sports  ,0.21,,,0.02,6.5,
9906,.hack//G.U. Vol.2//Reminisce,PS2,2007.0,Role-Playing,Namco Bandai  ,0.11,0.09,,0.03,6.2,
9908,AC/DC LIVE: Rock Band Track Pack,X360,2008.0,Misc,MTV Games  ,0.21,0.0,,0.02,6.7,
9909,Tony Hawk's Proving Ground,DS,2007.0,Sports,Activision  ,0.2,0.01,,0.02,,
9910,NCAA GameBreaker 2004,PS2,2003.0,Sports,Sony Computer Entertainment  ,0.11,0.09,,0.03,,
9911,Need for Speed: Undercover,DS,2008.0,Racing,Electronic Arts  ,0.18,0.03,,0.02,,
9912,Valhalla Knights 2,PSP,2008.0,Role-Playing,Xseed Games  ,0.09,0.0,0.12,0.01,5.0,
9913,Dead Island Definitive Collection,PS4,2016.0,Action,Deep Silver  ,0.09,0.08,0.03,0.03,,
9914,The Polar Express,PS2,2004.0,Adventure,THQ  ,0.11,0.09,,0.03,,
9915,LEGO The Hobbit,WiiU,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment  ,0.09,0.11,,0.02,,
9916,Spider-Man: Edge of Time,PS3,2011.0,Action,Activision  ,0.13,0.07,,0.03,,
9918,Buzz! Junior: RoboJam,PS2,2008.0,Misc,Sony Computer Entertainment  ,0.11,0.09,,0.03,,
9920,3rd Super Robot Wars Z Jigoku Hen,PS3,2014.0,Misc,Namco Bandai Games  ,,,0.23,,,
9921,Tetris Attack,GB,1996.0,Puzzle,Nintendo  ,,,0.23,,,
9922,F1 2014,X360,2014.0,Racing,Codemasters  ,0.08,0.13,0.0,0.02,6.5,
