Rank,Name,Critic_Score,User_Score
1499,Mortal Kombat,,
1500,Call of Duty 2: Big Red One,8.5,
1501,Medal of Honor,9.3,
1502,Kirby: Triple Deluxe,7.8,
1503,Guitar Hero: World Tour,8.6,
1504,WWE SmackDown! Shut Your Mouth,,
1505,Final Fantasy XIII-2,8.3,
1506,Medal of Honor Heroes,6.7,
1507,Hannah Montana,6.5,
1508,Need for Speed: Shift,8.2,
1509,Tom Clancy's Splinter Cell,,
1513,Star Wars: Shadows of the Empire,,
1514,Super Mario Bros. 2 (FDS),,
1516,Ace Combat 04: Shattered Skies,8.9,
1517,Medal of Honor,7.3,
1518,NBA 2K12,9.1,
1519,Midnight Club: Street Racing,,
1520,NBA 2K13,8.9,
1521,NBA 2K19,,
1522,ESPN NFL 2K5,,
1523,Madden NFL 18,8.2,
1524,FIFA Soccer 10,8.9,
1526,LittleBigPlanet,8.8,
1527,Harry Potter and the Chamber of Secrets,,
1531,Mario Strikers Charged,7.7,
1532,Monster Hunter 3G,7.6,
1533,NieR: Automata,,
1534,Streets of Rage,,
1535,Grand Theft Auto: Episodes from Liberty City,9.0,
1536,LEGO Star Wars: The Complete Saga,,
1537,Tom Clancy's The Division,,
1538,FIFA Soccer 09,8.6,
1539,NBA Live 2005,,
1542,WWE SmackDown vs. RAW 2007,8.0,
1543,Skylanders Giants,,
1544,Madden NFL 08,,
1545,Clubhouse Games,8.3,
1546,NBA 2K14,,
1547,Hot Shots Golf,,
1548,Dragon Age: Origins,8.5,
1549,FIFA 16,9.0,
1550,Ratchet & Clank Future: Tools of Destruction,8.9,
1552,Pokémon Stadium 2,7.9,
1555,Madden NFL 09,8.5,
1556,Crazy Taxi,8.2,
1558,Dragon Ball: Xenoverse,,
1561,Tomb Raider (2013),8.9,
1562,Midnight Club: Los Angeles,8.3,
1563,PES 2009: Pro Evolution Soccer,,
1564,Marvel: Ultimate Alliance,8.3,
1567,Black & White,9.3,
1570,Crisis Core: Final Fantasy VII,8.1,9.0
1571,Dance Central,8.4,
1573,Diablo,8.7,
1575,Dragon Ball Z: Budokai 3,,
1576,Dragon Quest II,,
1579,Far Cry,8.6,
1580,Final Fantasy Tactics,8.8,
